"time","emergence_low","emergence_high"
3.58,20.9429443481128,640.255727213733
3.59,20.4447657062567,639.2729179371
3.6,19.946559500652,638.289904020863
3.61,19.4483261718177,637.306688399566
3.62,18.9500661523614,636.323273958239
3.63,18.4517798671385,635.339663533362
3.64,17.9534677334096,634.355859913805
3.65,17.455130160993,633.371865841745
3.66,16.9567675524144,632.387684013573
3.67,16.4583803030531,631.403317080766
3.68,15.959968801285,630.418767650756
3.69,15.4615334286219,629.434038287769
3.7,14.9630745598488,628.449131513648
3.71,14.4645925631568,627.464049808662
3.72,13.9660878002741,626.478795612296
3.73,13.4675606265937,625.493371324021
3.74,12.9690113912981,624.507779304049
3.75,12.4704404374815,623.522021874076
3.76,11.9718481022693,622.536101318004
3.77,11.4732347169349,621.550019882649
3.78,10.9746006070141,620.563779778433
3.79,10.4759460924166,619.577383180067
3.8,9.97727148753568,618.590832227212
3.81,9.47857710135499,617.60412902513
3.82,8.97986323755323,616.617275645321
3.83,8.48113019460657,615.630274126147
3.84,7.98237826588885,614.643126473441
3.85,7.48360773976959,613.655834661106
3.86,6.98481889970994,612.6684006317
3.87,6.48601202435654,611.680826297009
3.88,5.98718738763339,610.693113538606
3.89,5.4883452588318,609.705264208405
3.9,4.98948590269834,608.717280129197
3.91,4.49060957952101,607.729163095177
3.92,3.99171654521355,606.740914872459
3.93,3.49280705139795,605.752537199587
3.94,2.99388134548528,604.764031788026
3.95,2.49493967075474,603.775400322647
3.96,1.99598226643115,602.786644462207
3.97,1.49700936776073,601.797765839812
3.98,0.998021206085339,600.808766063374
3.99,0.499018008915191,599.819646716059
4,0,598.830409356725
